Date,Array Type,Array Number,Tree Number,Soil horizon,Live weight (mg),Dead weight (mg),
09/07/2018,Control,5,6375,B,160,143,
09/07/2018,Control,5,6406,O,236,154,
09/07/2018,Control,5,6406,A,112,46,
09/07/2018,Control,5,6406,B,-15,1728,
09/07/2018,Treatment,6,3755,O,477,341,
09/07/2018,Treatment,6,3755,A,311,148,
09/07/2018,Treatment,6,3755,B,7287,78,
09/07/2018,Treatment,6,3752,O,359,437,
09/07/2018,Treatment,6,3752,A,651,197,
09/07/2018,Treatment,6,3752,B,3833,109,
09/07/2018,Treatment,6,5850,O,270,425,
09/07/2018,Treatment,6,5850,A,291,246,
09/07/2018,Treatment,6,5850,B,5084,520,
09/07/2018,Ghost,7,8313,O,160,37,
09/07/2018,Ghost,7,8313,A,216,488,
09/07/2018,Ghost,7,8313,B,194,91,
09/07/2018,Ghost,7,6017,O,449,530,
09/07/2018,Ghost,7,6017,A,225,132,
09/07/2018,Ghost,7,6017,B,253,187,
09/07/2018,Ghost,7,5923,O,2243,525,
09/07/2018,Ghost,7,5923,A,190,86,
09/07/2018,Ghost,7,5923,B,2246,207,
09/07/2018,Ghost,8,3583,O,1953,275,
09/07/2018,Ghost,8,3583,A,439,161,
09/07/2018,Ghost,8,3583,B,63,0,
09/07/2018,Ghost,8,3641,O,969,3438,
09/07/2018,Ghost,8,3641,A,224,218,
09/07/2018,Ghost,8,3641,B,71,83,
09/07/2018,Ghost,8,3643,O,131,471,
09/07/2018,Ghost,8,3643,A,76,177,
09/07/2018,Ghost,8,3643,B,195,6900,
09/07/2018,Ghost,9,7373,O,809,209,
09/07/2018,Ghost,9,7373,A,511,383,
09/07/2018,Ghost,9,7373,B,10823,280,
09/07/2018,Ghost,9,7480,O,797,974,
09/07/2018,Ghost,9,7480,A,357,88,
09/07/2018,Ghost,9,7480,B,850,64,
09/07/2018,Ghost,9,7333,O,600,223,
09/07/2018,Ghost,9,7333,A,4974,109,
09/07/2018,Ghost,9,7333,B,638,35,
26/11/2018,Treatment,1,8433,O,335,85,
26/11/2018,Treatment,1,8433,A,15,136,
26/11/2018,Treatment,1,8433,B,179,89,
26/11/2018,Treatment,1,8445,O,503,58,
26/11/2018,Treatment,1,8445,A,45,63,
26/11/2018,Treatment,1,8445,B,21525,84,
26/11/2018,Treatment,1,8468,O,189,289,
26/11/2018,Treatment,1,8468,A,120,30,
26/11/2018,Treatment,1,8468,B,690,555,
26/11/2018,Control,2,8668,O,109,153,
26/11/2018,Control,2,8668,A,1292,49,
26/11/2018,Control,2,8668,B,868,378,
26/11/2018,Control,2,8689,O,166,24,
26/11/2018,Control,2,8689,A,85,382,
26/11/2018,Control,2,8689,B,8823,378,
26/11/2018,Control,2,8749,O,212,162,
26/11/2018,Control,2,8749,A,203,67,
26/11/2018,Control,2,8749,B,5934,904,
26/11/2018,Control,3,8301,O,783,226,
26/11/2018,Control,3,8301,A,149,126,
