Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Root previous width (cm),Root current width (cm),Root previous volume (cm3),Root current volume (cm3),Change in volume (cm3),Est change in Biomass (mg),Increase in volume (cm)
Control,3,4,1,43243,43273,437,30,0,0.128237775601761,0,0.011820648419374,0,1.40730573739399E-05,1.40730573739399E-05,0.004221917212182,1.40730573739399E-05
Control,2,11,2,43425,43481,645,56,0.851255375064585,1.24643138141025,0.039508042908504,0.067597467159424,0.001043568068918,0.004473208103723,0.003429640034805,1.0288920104415,0.003429640034805
Control,2,11,2,43273,43425,589,152,0.691011772074444,0.851255375064585,0.066087607863607,0.039508042908504,0.002370365906272,0.001043568068918,-0.001326797837354,-0.3980393512062,0
Control,2,11,2,43215,43273,437,58,0.408293852158296,0.691011772074444,0.056915963980361,0.066087607863607,0.001038797542885,0.002370365906272,0.001331568363387,0.3994705090161,0.001331568363387
Control,2,11,1,43273,43425,589,152,0.335287644508341,0.99150101812169,0.079941058900828,0.066291089187312,0.001682857042064,0.003422105192619,0.001739248150556,0.5217744451668,0.001739248150556
Control,2,11,1,43215,43273,437,58,0.163739049903566,0.335287644508341,0.054110899594293,0.079941058900828,0.000376540465976,0.001682857042064,0.001306316576088,0.3918949728264,0.001306316576088
Control,2,12,1,43215,43299,463,84,0.257347418963767,0.838189930234397,0.026081587445916,0.034341758949684,0.000137492098441,0.000776385456474,0.000638893358033,0.1916680074099,0.000638893358033
Control,2,9,1,43273,43299,463,26,0.750595702020468,0.763516282361549,0.026654872843021,0.021625687304604,0.000418840997064,0.000280445207302,-0.000138395789761,-0.0415187369283,0
Control,2,9,1,43215,43273,437,58,0.271297336429861,0.750595702020468,0.020843715452841,0.026654872843021,9.2573286648859E-05,0.000418840997064,0.000326267710415,0.0978803131245,0.000326267710415
Treatment,4,10,1,43299,43425,589,126,0.703983970796701,0.421740956638463,0.030413133911648,0.028102323850887,0.000511416811729,0.000261589392171,-0.000249827419558,-0.0749482258674,0
Treatment,4,10,1,43273,43299,463,26,0,0.703983970796701,0,0.030413133911648,0,0.000511416811729,0.000511416811729,0.1534250435187,0.000511416811729
Treatment,4,1,1,43340,43369,533,29,0.245038599695075,0.399007355711824,0.030514569025987,0.02995359045002,0.000179200354496,0.000281169726398,0.000101969371902,0.0305908115706,0.000101969371902
Treatment,4,1,1,43299,43340,504,41,0,0.245038599695075,0,0.030514569025987,0,0.000179200354496,0.000179200354496,0.0537601063488,0.000179200354496
Treatment,4,2,1,43299,43425,589,126,0.109716767413988,0.115448017884998,0.019659762960007,0.023629647735692,3.33057669808141E-05,5.06280099756175E-05,1.73222429948034E-05,0.005196672898441,1.73222429948034E-05
Treatment,4,2,1,43273,43299,463,26,0,0.109716767413988,0,0.019659762960007,0,3.33057669808141E-05,3.33057669808141E-05,0.009991730094244,3.33057669808141E-05
Treatment,4,6,1,43273,43299,463,26,0.361744412664844,0.529253719082779,0.030448683990297,0.04002683095085,0.000263407882511,0.000665972373769,0.000402564491258,0.1207693473774,0.000402564491258
Treatment,4,6,1,43215,43273,437,58,0.076206089377875,0.361744412664844,0.047701883127351,0.030448683990297,0.000136191688782,0.000263407882511,0.000127216193729,0.0381648581187,0.000127216193729
