Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Production
Treatment,4,1,1,28/08/2018,18/03/2019,706,202,7.6259456,8.071606,1.82E-05
Treatment,4,3,1,25/04/2018,18/03/2019,706,327,2.020726,2.020726,0
Treatment,4,3,2,25/04/2018,18/03/2019,706,327,2.432565,2.432565,0
Treatment,4,4,1,25/04/2018,23/05/2018,407,28,0,3.333696,0.704940159
Treatment,4,4,1,23/05/2018,18/03/2019,706,299,3.333696,3.333696,0
Treatment,4,6,1,25/04/2018,23/05/2018,407,28,0,1.8020619,0.490099895
Treatment,4,6,1,23/05/2018,22/06/2018,437,30,1.8020619,1.8580849,1.96E-05
Treatment,4,6,1,22/06/2018,28/08/2018,504,67,1.8580849,3.0896134,0.012366706
Treatment,4,6,1,28/08/2018,26/09/2018,533,29,3.0896134,0,0
Treatment,4,7,1,25/04/2018,18/03/2019,706,327,8.320913,8.320913,0
Treatment,4,9,1,25/04/2018,18/03/2019,706,327,4.9181595,4.9181595,0
Treatment,4,11,1,25/04/2018,18/03/2019,706,327,5.650247,5.650247,0
Treatment,4,12,1,25/04/2018,18/03/2019,706,327,3.997559,3.997559,0
Control,5,2,1,23/04/2018,18/03/2019,706,329,8.81017,8.81017,0
Control,5,2,2,23/04/2018,18/03/2019,706,329,2.718004,2.718004,0
Control,5,9,1,23/04/2018,23/05/2018,407,30,0,5.5054517,1.781418322
Control,5,9,1,23/05/2018,18/03/2019,706,299,5.5054517,5.5054517,0
Treatment,6,1,1,25/04/2018,18/03/2019,706,327,5.3370767,5.3370767,0
Treatment,6,6,1,23/05/2018,22/06/2018,437,30,0,1.8195777,0.942501022
Treatment,6,6,1,28/08/2018,26/09/2018,533,29,1.8195777,0,0
Treatment,6,7,1,28/08/2018,24/10/2018,561,57,0,9.487547,13.55665316
Treatment,6,7,1,24/10/2018,21/11/2018,589,28,9.487547,0,0
Treatment,6,9,1,25/04/2018,18/03/2019,706,327,4.472981,4.472981,0
Treatment,6,10,1,25/04/2018,18/03/2019,706,327,1.8238151,1.8238151,0
Treatment,6,11,1,25/04/2018,18/03/2019,706,327,1.3352851,1.3352851,0
